crop,moisture_min,moisture_opt,moisture_max,salinity_max_dsm,temp_min_c,temp_opt_c,temp_max_c,ph_min,ph_opt,ph_max,best_soil,growth_days,water_need_mm,weight_moisture,weight_salinity,weight_temp,weight_ph,notes
Rice,0.70,0.85,1.00,2.0,20,28,35,5.5,6.0,6.5,Clay,120,1200,0.35,0.25,0.25,0.15,Requires flooded or saturated soil
Watermelon,0.40,0.60,0.75,2.5,18,26,35,6.0,6.8,7.5,Sandy-loam,80,500,0.30,0.20,0.30,0.20,Heat-tolerant; low moisture after fruit set
Tomato,0.50,0.65,0.80,2.5,15,22,30,6.0,6.5,7.0,Loam,90,600,0.30,0.20,0.30,0.20,Sensitive to salinity above 2.5 dS/m
Cotton,0.45,0.60,0.75,7.7,18,28,38,5.8,6.5,8.0,Sandy-clay,160,700,0.25,0.35,0.25,0.15,High salinity tolerance; major Nile crop
Maize,0.55,0.70,0.80,1.7,15,25,35,5.8,6.5,7.5,Loam,100,550,0.30,0.20,0.30,0.20,Sensitive to waterlogging
Wheat,0.45,0.60,0.75,6.0,5,15,25,6.0,6.5,7.5,Clay-loam,130,450,0.30,0.30,0.25,0.15,Cool season; winter crop in Nile Delta
Sorghum,0.35,0.55,0.70,6.8,18,28,40,5.5,6.5,7.5,Sandy-clay,110,400,0.25,0.30,0.30,0.15,Drought and heat tolerant
Barley,0.40,0.55,0.70,8.0,5,15,25,6.0,6.5,8.0,Sandy-loam,100,350,0.25,0.35,0.25,0.15,Most salt-tolerant cereal
Sugarcane,0.65,0.80,0.95,1.7,20,30,38,6.0,6.5,7.5,Clay,365,1800,0.35,0.20,0.30,0.15,Very high water requirement
Sugar beet,0.50,0.65,0.80,7.0,10,18,25,6.5,7.0,8.0,Clay-loam,180,550,0.30,0.30,0.25,0.15,Winter crop; high salt tolerance
Lemon,0.45,0.60,0.75,1.5,10,22,35,6.0,6.5,7.5,Sandy-loam,365,800,0.30,0.20,0.30,0.20,Perennial; fruit trees need well-drained
Eggplant,0.55,0.70,0.80,1.1,18,26,35,6.0,6.5,7.0,Loam,100,550,0.30,0.20,0.30,0.20,Moderate salinity sensitivity
Pepper,0.55,0.65,0.80,1.5,18,24,32,6.0,6.5,7.0,Sandy-loam,90,500,0.30,0.25,0.30,0.15,Dislikes both drought and waterlogging
Cucumber,0.60,0.75,0.85,2.5,18,24,32,6.0,6.5,7.0,Sandy-loam,60,500,0.30,0.20,0.30,0.20,Fast-growing; good for rotation
Onion,0.45,0.60,0.70,1.2,10,18,25,6.0,6.5,7.5,Sandy-loam,150,350,0.30,0.25,0.30,0.15,Sensitive to high moisture at bulbing
Garlic,0.45,0.55,0.70,0.9,0,15,24,6.0,6.5,7.5,Sandy-loam,180,300,0.30,0.25,0.30,0.15,Lowest salinity tolerance in dataset
Potato,0.60,0.75,0.85,1.7,7,17,24,4.8,5.5,6.5,Sandy-loam,100,500,0.30,0.20,0.30,0.20,Prefers acidic soil; cooler temps
Sweet potato,0.50,0.65,0.80,1.5,18,26,35,5.5,6.0,7.5,Sandy-loam,120,500,0.25,0.20,0.35,0.20,Heat-loving; good for Nile Delta summer
Clover,0.55,0.70,0.85,1.5,5,18,28,6.0,6.5,7.5,Clay-loam,60,600,0.30,0.20,0.30,0.20,Nitrogen-fixer; used in rotation
Lettuce,0.65,0.75,0.85,1.3,7,16,24,6.0,6.5,7.0,Loam,50,300,0.35,0.15,0.30,0.20,Heat-sensitive; winter/spring only
